,classifier,data_stream,ROC_AUC,ROC_AUC_training,hamming_loss,hamming_loss_training,best_params
64,LogisticRegression,raw01-MR,0.5,0.5,0.25731272294887036,0.2600059470710675,"{'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l1', 'pipeline__pca': 'passthrough'}"
65,RandomForestClassifier,raw01-MR,0.5158441589968167,0.505826065764748,0.5455410225921522,0.5391019922688076,"{'onevsrestclassifier__estimator__n_estimators': 50, 'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
66,SGDClassifier,raw01-MR,,,0.3460166468489893,0.3407671721677074,"{'onevsrestclassifier__estimator__alpha': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1', 'pipeline__pca': 'passthrough'}"
67,AdaBoostClassifier,raw01-wavelet-meta-ecg,0.7802282025712801,0.9358637401095325,0.20332936979785968,0.12673208444840917,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__n_estimators': 100}"
68,GaussianNB,raw01-wavelet-meta-ecg,0.7220330019157222,0.7028415328753679,0.28038049940546966,0.29622360987213797,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full')}"
69,KNeighborsClassifier,raw01-wavelet-meta-ecg,0.6284131120538567,0.9997766987210707,0.2356718192627824,0.0001784121320249777,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 1}"
70,LogisticRegression,raw01-wavelet-meta-ecg,0.5,0.5,0.25731272294887036,0.2600059470710675,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l1'}"
71,RandomForestClassifier,raw01-wavelet-meta-ecg,0.7762741142523408,0.9999996847586438,0.20856123662306777,0.0005947071067499256,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__n_estimators': 50}"
72,SGDClassifier,raw01-wavelet-meta-ecg,,,0.21426872770511296,0.2215283972643473,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__alpha': 0.0001, 'onevsrestclassifier__estimator__penalty': 'l1'}"
73,AdaBoostClassifier,raw01-wavelet,0.7925399849517067,0.8891720868346733,0.1980975029726516,0.1568242640499554,"{'onevsrestclassifier__estimator__n_estimators': 50, 'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
74,GaussianNB,raw01-wavelet,0.7197907490893106,0.7009365068619396,0.2832342449464923,0.2975914362176628,"{'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
75,KNeighborsClassifier,raw01-wavelet,0.6196935113743081,0.9997871177462226,0.24209274673008324,0.0001784121320249777,"{'onevsrestclassifier__estimator__n_neighbors': 1, 'pipeline__pca': PCA(n_components=0.9, svd_solver='full')}"
76,LogisticRegression,raw01-wavelet,0.5,0.5,0.25731272294887036,0.2600059470710675,"{'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l1', 'pipeline__pca': 'passthrough'}"
